Bulbasaur:Bulbasaur(1), Grass/Poison Type, HP 45, Attack 49, Defense 49, Sp. Attack 65, Sp. Defense 65, Speed 45§
Sandslash:Sandslash(28), Ground Type, HP 75, Attack 100, Defense 110, Sp. Attack 45, Sp. Defense 55, Speed 65§
Nidoran:Nidoran♀(29), Poison Type, HP 55, Attack 47, Defense 52, Sp. Attack 40, Sp. Defense 40, Speed 41§
Nidorina:Nidorina(30), Poison Type, HP 70, Attack 62, Defense 67, Sp. Attack 55, Sp. Defense 55, Speed 56§
Nidoqueen:Nidoqueen(31), Poison/Ground Type, HP 90, Attack 92, Defense 87, Sp. Attack 75, Sp. Defense 85, Speed 76§
Nidoran:Nidoran♂(32), Poison Type, HP 46, Attack 57, Defense 40, Sp. Attack 40, Sp. Defense 40, Speed 50§
Nidorino:Nidorino(33), Poison Type, HP 61, Attack 72, Defense 57, Sp. Attack 55, Sp. Defense 55, Speed 65§
Nidoking:Nidoking(34), Poison/Ground Type, HP 81, Attack 102, Defense 77, Sp. Attack 85, Sp. Defense 75, Speed 85§
Clefairy:Clefairy(35), Fairy Type, HP 70, Attack 45, Defense 48, Sp. Attack 60, Sp. Defense 65, Speed 35§
Clefable:Clefable(36), Fairy Type, HP 95, Attack 70, Defense 73, Sp. Attack 95, Sp. Defense 90, Speed 60§
Vulpix:Vulpix(37), Fire Type, HP 38, Attack 41, Defense 40, Sp. Attack 50, Sp. Defense 65, Speed 65§
Ninetales:Ninetales(38), Fire Type, HP 73, Attack 76, Defense 75, Sp. Attack 81, Sp. Defense 100, Speed 100§
Jigglypuff:Jigglypuff(39), Normal/Fairy Type, HP 115, Attack 45, Defense 20, Sp. Attack 45, Sp. Defense 25, Speed 20§
Wigglytuff:Wigglytuff(40), Normal/Fairy Type, HP 140, Attack 70, Defense 45, Sp. Attack 85, Sp. Defense 50, Speed 45§
Zubat:Zubat(41), Poison/Flying Type, HP 40, Attack 45, Defense 35, Sp. Attack 30, Sp. Defense 40, Speed 55§
Golbat:Golbat(42), Poison/Flying Type, HP 75, Attack 80, Defense 70, Sp. Attack 65, Sp. Defense 75, Speed 90§
Oddish:Oddish(43), Grass/Poison Type, HP 45, Attack 50, Defense 55, Sp. Attack 75, Sp. Defense 65, Speed 30§
Gloom:Gloom(44), Grass/Poison Type, HP 60, Attack 65, Defense 70, Sp. Attack 85, Sp. Defense 75, Speed 40§
Vileplume:Vileplume(45), Grass/Poison Type, HP 75, Attack 80, Defense 85, Sp. Attack 110, Sp. Defense 90, Speed 50§
Paras:Paras(46), Bug/Grass Type, HP 35, Attack 70, Defense 55, Sp. Attack 45, Sp. Defense 55, Speed 25§
Parasect:Parasect(47), Bug/Grass Type, HP 60, Attack 95, Defense 80, Sp. Attack 60, Sp. Defense 80, Speed 30§
Venonat:Venonat(48), Bug/Poison Type, HP 60, Attack 55, Defense 50, Sp. Attack 40, Sp. Defense 55, Speed 45§
Venomoth:Venomoth(49), Bug/Poison Type, HP 70, Attack 65, Defense 60, Sp. Attack 90, Sp. Defense 75, Speed 90§
Diglett:Diglett(50), Ground Type, HP 10, Attack 55, Defense 25, Sp. Attack 35, Sp. Defense 45, Speed 95§
Dugtrio:Dugtrio(51), Ground Type, HP 35, Attack 100, Defense 50, Sp. Attack 50, Sp. Defense 70, Speed 120§
Meowth:Meowth(52), Normal Type, HP 40, Attack 45, Defense 35, Sp. Attack 40, Sp. Defense 40, Speed 90§
Persian:Persian(53), Normal Type, HP 65, Attack 70, Defense 60, Sp. Attack 65, Sp. Defense 65, Speed 115§
Psyduck:Psyduck(54), Water Type, HP 50, Attack 52, Defense 48, Sp. Attack 65, Sp. Defense 50, Speed 55§
Golduck:Golduck(55), Water Type, HP 80, Attack 82, Defense 78, Sp. Attack 95, Sp. Defense 80, Speed 85§
Mankey:Mankey(56), Fighting Type, HP 40, Attack 80, Defense 35, Sp. Attack 35, Sp. Defense 45, Speed 70§
Primeape:Primeape(57), Fighting Type, HP 65, Attack 105, Defense 60, Sp. Attack 60, Sp. Defense 70, Speed 95§
Growlithe:Growlithe(58), Fire Type, HP 55, Attack 70, Defense 45, Sp. Attack 70, Sp. Defense 50, Speed 60§
Arcanine:Arcanine(59), Fire Type, HP 90, Attack 110, Defense 80, Sp. Attack 100, Sp. Defense 80, Speed 95§
Poliwag:Poliwag(60), Water Type, HP 40, Attack 50, Defense 40, Sp. Attack 40, Sp. Defense 40, Speed 90§
Poliwhirl:Poliwhirl(61), Water Type, HP 65, Attack 65, Defense 65, Sp. Attack 50, Sp. Defense 50, Speed 90§
Poliwrath:Poliwrath(62), Water/Fighting Type, HP 90, Attack 95, Defense 95, Sp. Attack 70, Sp. Defense 90, Speed 70§
Abra:Abra(63), Psychic Type, HP 25, Attack 20, Defense 15, Sp. Attack 105, Sp. Defense 55, Speed 90§
Kadabra:Kadabra(64), Psychic Type, HP 40, Attack 35, Defense 30, Sp. Attack 120, Sp. Defense 70, Speed 105§
Alakazam:Alakazam(65), Psychic Type, HP 55, Attack 50, Defense 45, Sp. Attack 135, Sp. Defense 95, Speed 120§
Machop:Machop(66), Fighting Type, HP 70, Attack 80, Defense 50, Sp. Attack 35, Sp. Defense 35, Speed 35§
Machoke:Machoke(67), Fighting Type, HP 80, Attack 100, Defense 70, Sp. Attack 50, Sp. Defense 60, Speed 45§
Machamp:Machamp(68), Fighting Type, HP 90, Attack 130, Defense 80, Sp. Attack 65, Sp. Defense 85, Speed 55§
Bellsprout:Bellsprout(69), Grass/Poison Type, HP 50, Attack 75, Defense 35, Sp. Attack 70, Sp. Defense 30, Speed 40§
Weepinbell:Weepinbell(70), Grass/Poison Type, HP 65, Attack 90, Defense 50, Sp. Attack 85, Sp. Defense 45, Speed 55§
Victreebel:Victreebel(71), Grass/Poison Type, HP 80, Attack 105, Defense 65, Sp. Attack 100, Sp. Defense 70, Speed 70§
Tentacool:Tentacool(72), Water/Poison Type, HP 40, Attack 40, Defense 35, Sp. Attack 50, Sp. Defense 100, Speed 70§
Tentacruel:Tentacruel(73), Water/Poison Type, HP 80, Attack 70, Defense 65, Sp. Attack 80, Sp. Defense 120, Speed 100§
Geodude:Geodude(74), Rock/Ground Type, HP 40, Attack 80, Defense 100, Sp. Attack 30, Sp. Defense 30, Speed 20§
Graveler:Graveler(75), Rock/Ground Type, HP 55, Attack 95, Defense 115, Sp. Attack 45, Sp. Defense 45, Speed 35§
Golem:Golem(76), Rock/Ground Type, HP 80, Attack 120, Defense 130, Sp. Attack 55, Sp. Defense 65, Speed 45§
Ponyta:Ponyta(77), Fire Type, HP 50, Attack 85, Defense 55, Sp. Attack 65, Sp. Defense 65, Speed 90§
Rapidash:Rapidash(78), Fire Type, HP 65, Attack 100, Defense 70, Sp. Attack 80, Sp. Defense 80, Speed 105§
Slowpoke:Slowpoke(79), Water/Psychic Type, HP 90, Attack 65, Defense 65, Sp. Attack 40, Sp. Defense 40, Speed 15§
Slowbro:Slowbro(80), Water/Psychic Type, HP 95, Attack 75, Defense 110, Sp. Attack 100, Sp. Defense 80, Speed 30§
Magnemite:Magnemite(81), Electric/Steel Type, HP 25, Attack 35, Defense 70, Sp. Attack 95, Sp. Defense 55, Speed 45§
Magneton:Magneton(82), Electric/Steel Type, HP 50, Attack 60, Defense 95, Sp. Attack 120, Sp. Defense 70, Speed 70§
Farfetch'd:Farfetch'd(83), Normal/Flying Type, HP 52, Attack 90, Defense 55, Sp. Attack 58, Sp. Defense 62, Speed 60§
Doduo:Doduo(84), Normal/Flying Type, HP 35, Attack 85, Defense 45, Sp. Attack 35, Sp. Defense 35, Speed 75§
Dodrio:Dodrio(85), Normal/Flying Type, HP 60, Attack 110, Defense 70, Sp. Attack 60, Sp. Defense 60, Speed 110§
Seel:Seel(86), Water Type, HP 65, Attack 45, Defense 55, Sp. Attack 45, Sp. Defense 70, Speed 45§
Dewgong:Dewgong(87), Water/Ice Type, HP 90, Attack 70, Defense 80, Sp. Attack 70, Sp. Defense 95, Speed 70§
Grimer:Grimer(88), Poison Type, HP 80, Attack 80, Defense 50, Sp. Attack 40, Sp. Defense 50, Speed 25§
Muk:Muk(89), Poison Type, HP 105, Attack 105, Defense 75, Sp. Attack 65, Sp. Defense 100, Speed 50§
Shellder:Shellder(90), Water Type, HP 30, Attack 65, Defense 100, Sp. Attack 45, Sp. Defense 25, Speed 40§
Cloyster:Cloyster(91), Water/Ice Type, HP 50, Attack 95, Defense 180, Sp. Attack 85, Sp. Defense 45, Speed 70§
Gastly:Gastly(92), Ghost/Poison Type, HP 30, Attack 35, Defense 30, Sp. Attack 100, Sp. Defense 35, Speed 80§
Haunter:Haunter(93), Ghost/Poison Type, HP 45, Attack 50, Defense 45, Sp. Attack 115, Sp. Defense 55, Speed 95§
Gengar:Gengar(94), Ghost/Poison Type, HP 60, Attack 65, Defense 60, Sp. Attack 130, Sp. Defense 75, Speed 110§
Onix:Onix(95), Rock/Ground Type, HP 35, Attack 45, Defense 160, Sp. Attack 30, Sp. Defense 45, Speed 70§
Drowzee:Drowzee(96), Psychic Type, HP 60, Attack 48, Defense 45, Sp. Attack 43, Sp. Defense 90, Speed 42§
Hypno:Hypno(97), Psychic Type, HP 85, Attack 73, Defense 70, Sp. Attack 73, Sp. Defense 115, Speed 67§
Krabby:Krabby(98), Water Type, HP 30, Attack 105, Defense 90, Sp. Attack 25, Sp. Defense 25, Speed 50§
Kingler:Kingler(99), Water Type, HP 55, Attack 130, Defense 115, Sp. Attack 50, Sp. Defense 50, Speed 75§
Voltorb:Voltorb(100), Electric Type, HP 40, Attack 30, Defense 50, Sp. Attack 55, Sp. Defense 55, Speed 100§
Electrode:Electrode(101), Electric Type, HP 60, Attack 50, Defense 70, Sp. Attack 80, Sp. Defense 80, Speed 150§
Exeggcute:Exeggcute(102), Grass/Psychic Type, HP 60, Attack 40, Defense 80, Sp. Attack 60, Sp. Defense 45, Speed 40§
Exeggutor:Exeggutor(103), Grass/Psychic Type, HP 95, Attack 95, Defense 85, Sp. Attack 125, Sp. Defense 75, Speed 55§
Cubone:Cubone(104), Ground Type, HP 50, Attack 50, Defense 95, Sp. Attack 40, Sp. Defense 50, Speed 35§
Marowak:Marowak(105), Ground Type, HP 60, Attack 80, Defense 110, Sp. Attack 50, Sp. Defense 80, Speed 45§
Hitmonlee:Hitmonlee(106), Fighting Type, HP 50, Attack 120, Defense 53, Sp. Attack 35, Sp. Defense 110, Speed 87§
Hitmonchan:Hitmonchan(107), Fighting Type, HP 50, Attack 105, Defense 79, Sp. Attack 35, Sp. Defense 110, Speed 76§
Lickitung:Lickitung(108), Normal Type, HP 90, Attack 55, Defense 75, Sp. Attack 60, Sp. Defense 75, Speed 30§
Koffing:Koffing(109), Poison Type, HP 40, Attack 65, Defense 95, Sp. Attack 60, Sp. Defense 45, Speed 35§
Weezing:Weezing(110), Poison Type, HP 65, Attack 90, Defense 120, Sp. Attack 85, Sp. Defense 70, Speed 60§
Rhyhorn:Rhyhorn(111), Ground/Rock Type, HP 80, Attack 85, Defense 95, Sp. Attack 30, Sp. Defense 30, Speed 25§
Rhydon:Rhydon(112), Ground/Rock Type, HP 105, Attack 130, Defense 120, Sp. Attack 45, Sp. Defense 45, Speed 40§
Chansey:Chansey(113), Normal Type, HP 250, Attack 5, Defense 5, Sp. Attack 35, Sp. Defense 105, Speed 50§
Tangela:Tangela(114), Grass Type, HP 65, Attack 55, Defense 115, Sp. Attack 100, Sp. Defense 40, Speed 60§
Kangaskhan:Kangaskhan(115), Normal Type, HP 105, Attack 95, Defense 80, Sp. Attack 40, Sp. Defense 80, Speed 90§
Horsea:Horsea(116), Water Type, HP 30, Attack 40, Defense 70, Sp. Attack 70, Sp. Defense 25, Speed 60§
Seadra:Seadra(117), Water Type, HP 55, Attack 65, Defense 95, Sp. Attack 95, Sp. Defense 45, Speed 85§
Goldeen:Goldeen(118), Water Type, HP 45, Attack 67, Defense 60, Sp. Attack 35, Sp. Defense 50, Speed 63§
Seaking:Seaking(119), Water Type, HP 80, Attack 92, Defense 65, Sp. Attack 65, Sp. Defense 80, Speed 68§
Staryu:Staryu(120), Water Type, HP 30, Attack 45, Defense 55, Sp. Attack 70, Sp. Defense 55, Speed 85§
Starmie:Starmie(121), Water/Psychic Type, HP 60, Attack 75, Defense 85, Sp. Attack 100, Sp. Defense 85, Speed 115§
Mr.Mime:Mr. Mime(122), Psychic/Fairy Type, HP 40, Attack 45, Defense 65, Sp. Attack 100, Sp. Defense 120, Speed 90§
Scyther:Scyther(123), Bug/Flying Type, HP 70, Attack 110, Defense 80, Sp. Attack 55, Sp. Defense 80, Speed 105§
Jynx:Jynx(124), Ice/Psychic Type, HP 65, Attack 50, Defense 35, Sp. Attack 115, Sp. Defense 95, Speed 95§
Electabuzz:Electabuzz(125), Electric Type, HP 65, Attack 83, Defense 57, Sp. Attack 95, Sp. Defense 85, Speed 105§
Magmar:Magmar(126), Fire Type, HP 65, Attack 95, Defense 57, Sp. Attack 100, Sp. Defense 85, Speed 93§
Pinsir:Pinsir(127), Bug Type, HP 65, Attack 125, Defense 100, Sp. Attack 55, Sp. Defense 70, Speed 85§
Tauros:Tauros(128), Normal Type, HP 75, Attack 100, Defense 95, Sp. Attack 40, Sp. Defense 70, Speed 110§
Magikarp:Magikarp(129), Water Type, HP 20, Attack 10, Defense 55, Sp. Attack 15, Sp. Defense 20, Speed 80§
Gyarados:Gyarados(130), Water/Flying Type, HP 95, Attack 125, Defense 79, Sp. Attack 60, Sp. Defense 100, Speed 81§
Lapras:Lapras(131), Water/Ice Type, HP 130, Attack 85, Defense 80, Sp. Attack 85, Sp. Defense 95, Speed 60§
Ditto:Ditto(132), Normal Type, HP 48, Attack 48, Defense 48, Sp. Attack 48, Sp. Defense 48, Speed 48§
Eevee:Eevee(133), Normal Type, HP 55, Attack 55, Defense 50, Sp. Attack 45, Sp. Defense 65, Speed 55§
Vaporeon:Vaporeon(134), Water Type, HP 130, Attack 65, Defense 60, Sp. Attack 110, Sp. Defense 95, Speed 65§
Jolteon:Jolteon(135), Electric Type, HP 65, Attack 65, Defense 60, Sp. Attack 110, Sp. Defense 95, Speed 130§
Flareon:Flareon(136), Fire Type, HP 65, Attack 130, Defense 60, Sp. Attack 95, Sp. Defense 110, Speed 65§
Porygon:Porygon(137), Normal Type, HP 65, Attack 60, Defense 70, Sp. Attack 85, Sp. Defense 75, Speed 40§
Omanyte:Omanyte(138), Rock/Water Type, HP 35, Attack 40, Defense 100, Sp. Attack 90, Sp. Defense 55, Speed 35§
Omastar:Omastar(139), Rock/Water Type, HP 70, Attack 60, Defense 125, Sp. Attack 115, Sp. Defense 70, Speed 55§
Kabuto:Kabuto(140), Rock/Water Type, HP 30, Attack 80, Defense 90, Sp. Attack 55, Sp. Defense 45, Speed 55§
Kabutops:Kabutops(141), Rock/Water Type, HP 60, Attack 115, Defense 105, Sp. Attack 65, Sp. Defense 70, Speed 80§
Aerodactyl:Aerodactyl(142), Rock/Flying Type, HP 80, Attack 105, Defense 65, Sp. Attack 60, Sp. Defense 75, Speed 130§
Snorlax:Snorlax(143), Normal Type, HP 160, Attack 110, Defense 65, Sp. Attack 65, Sp. Defense 110, Speed 30§
Articuno:Articuno(144), Ice/Flying Type, HP 90, Attack 85, Defense 100, Sp. Attack 95, Sp. Defense 125, Speed 85§
Zapdos:Zapdos(145), Electric/Flying Type, HP 90, Attack 90, Defense 85, Sp. Attack 125, Sp. Defense 90, Speed 100§
Moltres:Moltres(146), Fire/Flying Type, HP 90, Attack 100, Defense 90, Sp. Attack 125, Sp. Defense 85, Speed 90§
Dratini:Dratini(147), Dragon Type, HP 41, Attack 64, Defense 45, Sp. Attack 50, Sp. Defense 50, Speed 50§
Dragonair:Dragonair(148), Dragon Type, HP 61, Attack 84, Defense 65, Sp. Attack 70, Sp. Defense 70, Speed 70§
Dragonite:Dragonite(149), Dragon/Flying Type, HP 91, Attack 134, Defense 95, Sp. Attack 100, Sp. Defense 100, Speed 80§
Mewtwo:Mewtwo(150), Psychic Type, HP 106, Attack 110, Defense 90, Sp. Attack 154, Sp. Defense 90, Speed 130§
Mew:Mew(151), Psychic Type, HP 100, Attack 100, Defense 100, Sp. Attack 100, Sp. Defense 100, Speed 100§
Chikorita:Chikorita(152), Grass Type, HP 45, Attack 49, Defense 65, Sp. Attack 49, Sp. Defense 65, Speed 45§
Bayleef:Bayleef(153), Grass Type, HP 60, Attack 62, Defense 80, Sp. Attack 63, Sp. Defense 80, Speed 60§
Meganium:Meganium(154), Grass Type, HP 80, Attack 82, Defense 100, Sp. Attack 83, Sp. Defense 100, Speed 80§
Cyndaquil:Cyndaquil(155), Fire Type, HP 39, Attack 52, Defense 43, Sp. Attack 60, Sp. Defense 50, Speed 65§
Quilava:Quilava(156), Fire Type, HP 58, Attack 64, Defense 58, Sp. Attack 80, Sp. Defense 65, Speed 80§
Typhlosion:Typhlosion(157), Fire Type, HP 78, Attack 84, Defense 78, Sp. Attack 109, Sp. Defense 85, Speed 100§
Totodile:Totodile(158), Water Type, HP 50, Attack 65, Defense 64, Sp. Attack 44, Sp. Defense 48, Speed 43§
Croconaw:Croconaw(159), Water Type, HP 65, Attack 80, Defense 80, Sp. Attack 59, Sp. Defense 63, Speed 58§
Feraligatr:Feraligatr(160), Water Type, HP 85, Attack 105, Defense 100, Sp. Attack 79, Sp. Defense 83, Speed 78§
Sentret:Sentret(161), Normal Type, HP 35, Attack 46, Defense 34, Sp. Attack 35, Sp. Defense 45, Speed 20§
Furret:Furret(162), Normal Type, HP 85, Attack 76, Defense 64, Sp. Attack 45, Sp. Defense 55, Speed 90§
Hoothoot:Hoothoot(163), Normal/Flying Type, HP 60, Attack 30, Defense 30, Sp. Attack 36, Sp. Defense 56, Speed 50§
Noctowl:Noctowl(164), Normal/Flying Type, HP 100, Attack 50, Defense 50, Sp. Attack 86, Sp. Defense 96, Speed 70§
Ledyba:Ledyba(165), Bug/Flying Type, HP 40, Attack 20, Defense 30, Sp. Attack 40, Sp. Defense 80, Speed 55§
Ledian:Ledian(166), Bug/Flying Type, HP 55, Attack 35, Defense 50, Sp. Attack 55, Sp. Defense 110, Speed 85§
Spinarak:Spinarak(167), Bug/Poison Type, HP 40, Attack 60, Defense 40, Sp. Attack 40, Sp. Defense 40, Speed 30§
Ariados:Ariados(168), Bug/Poison Type, HP 70, Attack 90, Defense 70, Sp. Attack 60, Sp. Defense 70, Speed 40§
Crobat:Crobat(169), Poison/Flying Type, HP 85, Attack 90, Defense 80, Sp. Attack 70, Sp. Defense 80, Speed 130§
Chinchou:Chinchou(170), Water/Electric Type, HP 75, Attack 38, Defense 38, Sp. Attack 56, Sp. Defense 56, Speed 67§
Lanturn:Lanturn(171), Water/Electric Type, HP 125, Attack 58, Defense 58, Sp. Attack 76, Sp. Defense 76, Speed 67§
Pichu:Pichu(172), Electric Type, HP 20, Attack 40, Defense 15, Sp. Attack 35, Sp. Defense 35, Speed 60§
Cleffa:Cleffa(173), Fairy Type, HP 50, Attack 25, Defense 28, Sp. Attack 45, Sp. Defense 55, Speed 15§
Igglybuff:Igglybuff(174), Normal/Fairy Type, HP 90, Attack 30, Defense 15, Sp. Attack 40, Sp. Defense 20, Speed 15§
Togepi:Togepi(175), Fairy Type, HP 35, Attack 20, Defense 65, Sp. Attack 40, Sp. Defense 65, Speed 20§
Togetic:Togetic(176), Fairy/Flying Type, HP 55, Attack 40, Defense 85, Sp. Attack 80, Sp. Defense 105, Speed 40§
Natu:Natu(177), Psychic/Flying Type, HP 40, Attack 50, Defense 45, Sp. Attack 70, Sp. Defense 45, Speed 70§
Xatu:Xatu(178), Psychic/Flying Type, HP 65, Attack 75, Defense 70, Sp. Attack 95, Sp. Defense 70, Speed 95§
Mareep:Mareep(179), Electric Type, HP 55, Attack 40, Defense 40, Sp. Attack 65, Sp. Defense 45, Speed 35§
Flaaffy:Flaaffy(180), Electric Type, HP 70, Attack 55, Defense 55, Sp. Attack 80, Sp. Defense 60, Speed 45§
Ampharos:Ampharos(181), Electric Type, HP 90, Attack 75, Defense 85, Sp. Attack 115, Sp. Defense 90, Speed 55§
Bellossom:Bellossom(182), Grass Type, HP 75, Attack 80, Defense 95, Sp. Attack 90, Sp. Defense 100, Speed 50§
Marill:Marill(183), Water/Fairy Type, HP 70, Attack 20, Defense 50, Sp. Attack 20, Sp. Defense 50, Speed 40§
Azumarill:Azumarill(184), Water/Fairy Type, HP 100, Attack 50, Defense 80, Sp. Attack 60, Sp. Defense 80, Speed 50§
Sudowoodo:Sudowoodo(185), Rock Type, HP 70, Attack 100, Defense 115, Sp. Attack 30, Sp. Defense 65, Speed 30§
Politoed:Politoed(186), Water Type, HP 90, Attack 75, Defense 75, Sp. Attack 90, Sp. Defense 100, Speed 70§
Hoppip:Hoppip(187), Grass/Flying Type, HP 35, Attack 35, Defense 40, Sp. Attack 35, Sp. Defense 55, Speed 50§
Skiploom:Skiploom(188), Grass/Flying Type, HP 55, Attack 45, Defense 50, Sp. Attack 45, Sp. Defense 65, Speed 80§
Jumpluff:Jumpluff(189), Grass/Flying Type, HP 75, Attack 55, Defense 70, Sp. Attack 55, Sp. Defense 95, Speed 110§
Aipom:Aipom(190), Normal Type, HP 55, Attack 70, Defense 55, Sp. Attack 40, Sp. Defense 55, Speed 85§
Sunkern:Sunkern(191), Grass Type, HP 30, Attack 30, Defense 30, Sp. Attack 30, Sp. Defense 30, Speed 30§
Sunflora:Sunflora(192), Grass Type, HP 75, Attack 75, Defense 55, Sp. Attack 105, Sp. Defense 85, Speed 30§
Yanma:Yanma(193), Bug/Flying Type, HP 65, Attack 65, Defense 45, Sp. Attack 75, Sp. Defense 45, Speed 95§
Wooper:Wooper(194), Water/Ground Type, HP 55, Attack 45, Defense 45, Sp. Attack 25, Sp. Defense 25, Speed 15§
Quagsire:Quagsire(195), Water/Ground Type, HP 95, Attack 85, Defense 85, Sp. Attack 65, Sp. Defense 65, Speed 35§
Espeon:Espeon(196), Psychic Type, HP 65, Attack 65, Defense 60, Sp. Attack 130, Sp. Defense 95, Speed 110§
Umbreon:Umbreon(197), Dark Type, HP 95, Attack 65, Defense 110, Sp. Attack 60, Sp. Defense 130, Speed 65§
Murkrow:Murkrow(198), Dark/Flying Type, HP 60, Attack 85, Defense 42, Sp. Attack 85, Sp. Defense 42, Speed 91§
Slowking:Slowking(199), Water/Psychic Type, HP 95, Attack 75, Defense 80, Sp. Attack 100, Sp. Defense 110, Speed 30§
Misdreavus:Misdreavus(200), Ghost Type, HP 60, Attack 60, Defense 60, Sp. Attack 85, Sp. Defense 85, Speed 85§
Unown:Unown(201), Psychic Type, HP 48, Attack 72, Defense 48, Sp. Attack 72, Sp. Defense 48, Speed 48§
Wobbuffet:Wobbuffet(202), Psychic Type, HP 190, Attack 33, Defense 58, Sp. Attack 33, Sp. Defense 58, Speed 33§
Girafarig:Girafarig(203), Normal/Psychic Type, HP 70, Attack 80, Defense 65, Sp. Attack 90, Sp. Defense 65, Speed 85§
Pineco:Pineco(204), Bug Type, HP 50, Attack 65, Defense 90, Sp. Attack 35, Sp. Defense 35, Speed 15§
Forretress:Forretress(205), Bug/Steel Type, HP 75, Attack 90, Defense 140, Sp. Attack 60, Sp. Defense 60, Speed 40§
Dunsparce:Dunsparce(206), Normal Type, HP 100, Attack 70, Defense 70, Sp. Attack 65, Sp. Defense 65, Speed 45§
Gligar:Gligar(207), Ground/Flying Type, HP 65, Attack 75, Defense 105, Sp. Attack 35, Sp. Defense 65, Speed 85§
Steelix:Steelix(208), Steel/Ground Type, HP 75, Attack 85, Defense 200, Sp. Attack 55, Sp. Defense 65, Speed 30§
Snubbull:Snubbull(209), Fairy Type, HP 60, Attack 80, Defense 50, Sp. Attack 40, Sp. Defense 40, Speed 30§
Granbull:Granbull(210), Fairy Type, HP 90, Attack 120, Defense 75, Sp. Attack 60, Sp. Defense 60, Speed 45§
Qwilfish:Qwilfish(211), Water/Poison Type, HP 65, Attack 95, Defense 85, Sp. Attack 55, Sp. Defense 55, Speed 85§
Scizor:Scizor(212), Bug/Steel Type, HP 70, Attack 130, Defense 100, Sp. Attack 55, Sp. Defense 80, Speed 65§
Shuckle:Shuckle(213), Bug/Rock Type, HP 20, Attack 10, Defense 230, Sp. Attack 10, Sp. Defense 230, Speed 5§
