Bulbasaur: フシギダネ (fushigidane)§
Starmie: スターミー (suta-mi-)§
Mr.Mime: バリヤード (Bariya-do)§
Scyther: ストライク (sutoraiku)§
Jynx: ルージュラ (ru-jura)§
Electabuzz: エレブー (erebu-)§
Magmar: ブーバー (bu-ba-)§
Pinisir: カイロス (kaiRosu)§
Tauros: ケンタロス (kentarosu)§
Magikarp: コイキング (koikingu)§
Gyrados: ギャラドス (gyaradosu)§
Lapras: ラプラス (Rapurasu)§
Ditto: メタモン (metaMon)§
Eevee: イーブイ (i-bui)§
Vaporeon: シャワーズ (shawa-zu)§
Jolteon: サンダース (sanda-su)§
Flareon: ブースター (bu-suta-)§
Porygon: ポリゴン (porigon)§
Omanyte: オムナイト (omunaito)§
Omastar: オムスター (omusuta-)§
Kabuto: カブト (kabuto)§
Kabutops: カブトプス (kabutopusu)§
Aerodactyl: プテラ (putera)§
Snorlax: カビゴン (kabigon)§
Articuno: フリーザー (furi-za-)§
Zapdos: サンダー (sanda-)§
Moltres: ファイヤー (faiya-)§
Dratini: ミニリュウ (miniryū)§
Dragonair: ハクリュウ (hakuryū)§
Dragonite: カイリュウ (kairyū)§
Mewtwo: ミュウツー (myūtsu-)§
Mew: ミュウ (myū)§
Chikorita: チコリータ (chikori-ta)§
Bayleef: ベイリーフ (beiri-fu)§
Meganium: メガニウム (meganiumu)§
Cyndaquil: ヒノアラシ (hinoarashi)§
Quilava: マグマラシ (magumarashi)§
Typhlosion: バクフーン (bakufu-n)§
Totodile: ワニノコ (waninoko)§
Croconaw: アリゲイツ (AriGeitsu)§
Feraligatr: オーダイル (o-dairu)§
Sentret: オタチ (otachi)§
Furret: オオタチ (ootachi)§
Hoothoot: ホホーホー (hoho-ho-)§
Noctowl: ヨルノズク (yorunozuku)§
Ledyba: レヂィバ (redyiba)§
Ledian: レヂィアン (redyian)§
Spinarak: イトマル (itomaru)§
Ariados: アリアドス (ariadosu)§
Crobat: クロバット (kurobatto)§
Chinchou: チョンチー (chonchi-)§
Lanturn: ランターン (ranta-n)§
Pichu: ピチュウ (pichū)§
Cleffa: ピィ (pyi)§
Igglybuff: ププリン (pupurin)§
Togepi: トゲピー (togepi-)§
Togetic: トゲチック (Togechikku)§
Natu: ネイチィ (neityi)§
Xatu: ネイチィオ (neityio)§
Mareep: メリープ (meri-pu)§
Flaaffy: モココ (mokoko)§
Ampharos: デンリュウ (denryū)§
Bellossom: キレイハナ (kireihana)§
Marill: マリル (mariru)§
Azumarill: マリルリ (mariruri)§
Sudowoodo: ウソッキー (usokki-)§
Politoed: ニョロトノ (nyorotono)§
Hoppip: ハネッコ (hanekko)§
Skiploom: ポポッコ (popokko)§
Jumpluff: ワタッコ (watakko)§
Aipom: エイパム (eipamu)§
Sunkern: ヒマナッツ (himanattsu)§
Sunflora: キミワリ (kimiwari)§
Yanma: ヤンヤンマ (Yanyanma)§
Wooper: ウパー (upa-)§
Quagsire: ヌオー (nuo-)§
Espeon: エーフィ (e-fyi)§
Umbreon: ブラッキー (burakki-)§
Murkrow: ヤミカラス (yamikarasu)§
Slowking: ヤドキング (yadokingu)§
Misdreavus: ムウマ (muuma)§
Unown: アンノーン (anno-n)§
Wobbuffet: ソーナンス (so-nansu)§
Girafarig: キリンリキ (KirinRiki)§
Pineco: クヌギダマ (kunugidama)§
Forretress: フォレトス (fuxoretosu)§
Dunsparce: ノコッチ (nokotchi)§
Gligar: グライガー (guraiga-)§
Steelix: ハガネール (hagane-ru)§
Snubbull: ブルー (buru-)§
Granbull: グランブル (guranburu)§
Qwilfish: ハリーセン (hari-sen)§
Scizor: ハッサム (haSamu)§
Shuckle: ツボツボ (tsubotsubo)§
Heracross: ヘラクロス (herakurosu)§
Sneasel: ニューラ (nyu-ra)§
Teddiursa: ヒメグマ (himeguma)§
Ursaring: リングマ (Ringuma)§
Slugma: マグマッグ (magumaggu)§
Magcargo: マグカルゴ (magukarugo)§
Swinub: ウリムー (urimu-)§
Piloswine: イノムー (inomu-)§
Corsola: サニーゴ (sani-go)§
Remoraid: テッポウオ (teppouo)§
Octillery: オクタン (okutan)§
Delibird: デリバード (deriba-do)§
Mantine: マンタイン (mantain)§
Skarmory: エアームド (ea-mudo)§
Houndoor: デルビル (Derubiru)§
Houndoom: ヘルガー (heruga-)§
Kingdra: キングドラ (kingudora)§
Phanpy: ゴマゾウ (Gomazō)§
Donphan: ドンファン (donfan)§
Porygon2: ポリゴン２ (porigonni)§
Stantler: オドシシ (odoshishi)§
Smeargle: ドーブル (do-buru)§
Tyrogue: バルキー (baruki-)§
Hitmontop: カポエラー (kapoera-)§
Smoochum: ムチュール (muchu-ru)§
Elekid: エレキッド (erekiddo)§
Magby: ブビィ (bubyi)§
Miltank: ミルタンク (mirutanku)§
Blissey: ハピナス (hapinasu)§
Raikou: ライコウ (raikō)§
Entei: エンテイ (entei)§
Suicune: スイクン (Suikun)§
Larvitar: ヨーギラス (yo-girasu)§
Pupitar: サナギラス (sanagirasu)§
Tyranitar: バンギラス (Bangirasu)§
Lugia: ルギア (rugia)§
Ho-Oh: ホウオウ (houou)§
Celebi: セリビィ (seribyi)§
Treecko: キモリ (kimori)§
Grovyle: ジュプトル (juputoru)§
Sceptile: ジュカイン (jukain)§
Torchic: アチャモ (achamo)§
Combusken: ワカシャモ (Wakashamo)§
Blaziken: バシャーモ (basha-mo)§
Mudkip: ミズゴロウ (mizugorou)§
Marshtomp: ヌマクロー (numakuro-)§
Swampert: ラグラージ (ragura-ji)§
Poochyena: ポチエナ (pochiena)§
Mightyena: グラエナ (guraena)§
Zigzagoon: ジグザグマ (jiguzaguma)§
Linoone: マッスグマ (massuguma)§
Wurmple: ケムッソ (kemusso)§
Silcoon: カラサリス (karasarisu)§
Beautifly: アゲハント (agehanto)§
Cascoon: マユルド (mayurudo)§
Dustox: ドクケイル (dokukeiru)§
Lotad: ハスボー (hasubo-)§
Lombre: ハスブレロ (hasuburero)§
Ludicolo: ルンパッパ (runpappa)§
Seedot: タネボー (tanebo-)§
Nuzleaf: コノハナ (KonoHana)§
Shiftry: ダーテング (da-tengu)§
Tailow: スバメ (subame)§
Swellow: オオスバメ (oosubame)§
Wingull: キャモメ (kyamome)§
Pelipper: ペリッパー (perippa-)§
Ralts: ラルトス (rarutosu)§
Kirlia: キルリア (kiruria)§
Gardevoir: サーナイト (Sa-naito)§
Surskit: アメタマ (ametama)§
Masquerain: アメモース (amemo-su)§
Shroomish: キノココ (kinokoko)§
Breloom: キノガッサ (kinogassa)§
Slakoth: ナマケロ (namakero)§
Vigoroth: ヤルキモノ (yarukimono)§
Slaking: ケッキング (kekkingu)§
Nincada: ツチニン (tsuchinin)§
Ninjask: テッカニン (tekkanin)§
Shedinja: ヌケニン (nukenin)§
Whismur: ゴニョニョ (gonyonyo)§
Loudred: ドゴーム (dogo-mu)§
Exploud: バクオング (bakuongu)§
Makuhita: マクノシタ (makunoshita)§
Hariyama: ハリテヤマ (hariteyama)§
Azurill: ルリリ (ruriri)§
Nosepass: ノズパス (nozupasu)§
Skitty: エネコ (eneko)§
Delcatty: エネコロロ (enekororo)§
Sableye: ヤミラミ (yamirami)§
Mawile: クチート (kuchi-to)§
Aron: ココドラ (kokodora)§
Lairon: コドラ (kodora)§
Aggron: バスゴドラ (basugodora)§
Meditite: アサナン (asaNan)§
Medicham: チャーレム (cha-remu)§
Electrike: ラクライ (rakurai)§
Manectric: ライボルト (raiboruto)§
Plusle: プラスル (purasuru)§
Minum: マイナン (mainan)§
Volbeat: バルビート (barubi-to)§
Illumise: イルミーゼ (irumi-ze)§
Roselia: ロゼリア (rozeria)§
Gulpin: ゴクリン (gokurin)§
Swalot: マルノーム (maruno-mu)§
Carvanha: キバニア (kibania)§
Sharpedo: サメハダー (samehada-)§
Wailmer: ホエルコ (hoeruko)§
Wailord: ホエルオー (hoeruo-)§
Numel: ドンメル (donmeru)§
Camerupt: バクーダ (baku-da)§
Torkoal: コータス (ko-tasu)§
Spoink: バネブー (baneBu-)§
Grumpig: ブーピッグ (bu-piggu)§
Spinda: パッチール (patchi-ru)§
Trapinch: ナックラー (nakkura-)§
Vibrava: ビブラーバ (bibura-ba)§
Flygon: フライゴン (furaigon)§
Cacnea: サボネア (sabonea)§
Cacturne: ノクタス (nokutasu)§
Swablu: チルット (chirutto)§
Altaria: チルタリス (chirutarisu)§
Zangoose: ザングース (zangu-su)§
Seviper: ハブネーク (habune-ku)§
Lunatone: ルナトーン (runato-n)§
Solrock: ソルロック (sorurokku)§
Barboach: ドジョッチ (dojotchi)§
Whiscash: ナマズン (namazun)§
Corphish: ヘイガニ (heigani)§
Crawdaunt: シザリガー (shizariga-)§
Baltoy: ヤジロン (yajiron)§
Claydol: ネンドール (nendo-ru)§
Lileep: リリーヤ (riri-ya)§
Cradily: ユレイドル (yureidoru)§
Anorith: アノプス (anopusu)§
Armaldo: アーマルド (a-marudo)§
Feebas: ヒンバス (hinbasu)§
Milotic: ミロカロス (mirokarosu)§
Castform: ポワルン (powarun)§
Kecleon: カクレオン (KakuReon)§
Shuppet: カゲボオズ (kageboozu)§
Banette: ジュペッタ (jupetta)§
Duskull: ヨマワル (yomawaru)§
Dusclops: サマヨール (samayo-ru)§
Tropius: トロピウス (toropiusu)§
Chimecho: チリーン (Chiri-n)§
Absol: アブソル (abusoru)§
Wynaut: ソーナノ (so-nano)§
Snorunt: ユキワラシ (yukiwarashi)§
Glalie: オニゴーリ (onigo-ri)§
Spheal: タマザラシ (tamazarashi)§
Sealeo: トドグラ (todogura)§
Walrein: トドゼルガ (todozeruga)§
Clamperl: パールル (pa-ruru)§
Huntail: ハンテール (Hante-ru)§
Gorebyss: サクラビス (sakurabisu)§
Relicanth: ジーランス (ji-ransu)§
Luvdisc: ラブカス (rabuKasu)§
Bagon: タツベイ (Tatsubei)§
Shelgon: コモルー (komoru-)§
Salamence: ボーマンダ (bo-manda)§
Beldum: ダンバル (danbaru)§
Metang: メタング (metangu)§
Metagross: メタグロス (metaGurosu)§
Regirock: レジロック (rejirokku)§
Regice: レジアイス (rejiaisu)§
Registeel: レジスチル (rejisuchiru)§
Latias: ラティアス (rathiasu)§
Latios: ラティオス (rathiosu)§
Kyogre: カイオーガ (kaio-ga)§
Groudon: グラードン (gura-don)§
Rayquaza: レックウザ (rekkuuza)§
Jirachi: ジラーチ (jira-chi)§
Deoxys: ヂオキシス (jiokishisu)§
Turtwig: ナエトル (naetoru)§
Grotle: ハヤシガメ (hayashigame)§
Torterra: ドダイトス (dodaitosu)§
Chimchar: ヒコザル (hikozaru)§
Monferno: モウカザル (moukazaru)§
Infernape: ゴウカザル (goukazaru)§
Piplup: ポッチャマ (potchama)§
Prinplup: ポッタイシ (pottaishi)§
Empoleon: エンペルト (enperuto)§
Starly: ムックル (mukkuru)§
Staravia: ムクバード (mukuba-do)§
Staraptor: ムクホーク (mukuho-ku)§
Bidoof: ビッパ (bippa)§
Bibarel: ビーダル (bi-daru)§
Kricketot: コロボーシ (korobo-shi)§
Kricketune: コロトック (korotokku)§
Shinx: コリンク (korinku)§
Luxio: ルクシオ (rukushio)§
Luxray: レントラー (rentora-)§
Budew: スボミー (subomi-)§
Roserade: ロズレイド (rozureido)§
Cranidos: ズガイドス (zugaidosu)§
Rampardos: ラムパルド (ramuparudo)§
Shieldon: タテトプス (tatetopusu)§
Bastiodon: トリデプス (toridepusu)§
Burmy: ミノムッチ (minomutchi)§
Wormadam: ミノマダム (Minomadamu)§
Mothim: ガーメイル (ga-meiru)§
Combee: ミツハニー (mitsuhani-)§
Vespiquen: ビークイン (bi-kuin)§
Pachirisu: パチリス (pachirisu)§
Buizel: ブイゼル (buizeru)§
Floatzel: フローゼル (furo-zeru)§
Cherubi: チェリンボ (tyerinbo)§
Cherrim: チェリム (tyerimu)§
Shellos: カラナクシ (karanakushi)§
Gastrodon: トリトソン (toritoson)§
Ambipom: エテボース (etebo-su)§
Drifloon: フワンテ (fuwante)§
Drifblim: フワライド (fuwaraido)§
Buneary: ミミロル (mimiroru)§
Lopunny: ミミロップ (Mimiroppu)§
Mismagius: ムウマージ (muuma-ji)§
Honchkrow: ドンカラス (Donkarasu)§
Glameow: ミャルマー (myaruma-)§
Purugly: ブニャット (bunyatto)§
Chingling: リーシャン (Ri-shan)§
Stunky: スカンプー (sukanpu-)§
Skuntank: スカタンク (sukatanku)§
Bronzor: ドーミラー (do-mira-)§
Bronzong: ドータクン (do-takun)§
Bonsly: ウソハチ (usohachi)§
MimeJr.: マネネ (manene)§
Happiny: ピンプク (pinpuku)§
Chatot: ペラップ (perappu)§
Spiritomb: ミカルゲ (mikaruge)§
Gible: フカマル (fukamaru)§
Gabite: ガバイト (gabaito)§
Garchomp: ガブリアス (gaburiasu)§
Munchlax: ゴンベ (gonbe)§
Riolu: リオル (rioru)§
Lucario: ルカリオ (RukaRio)§
Hippopotas: ヒポポタス (hipopotasu)§
Hippowdon: カバルドン (kabarudon)§
Skorupi: スコルピ (sukorupi)§
Drapion: ドラピオン (dorapion)§
Croagunk: グレッグル (guregguru)§
Toxicroak: ドクロッグ (dokuroggu)§
Carnivine: マスキッパ (masukippa)§
Finneon: ケイコウオ (keikouo)§
Lumineon: ネオラント (neoranto)§
Mantyke: タマンタ (tamanta)§
Snover: ユキカブリ (yukikaburi)§
Abomasnow: ユキノオー (yukinoo-)§
Weavile: マニューラ (manyu-ra)§
Magnezone: ジバコイル (jibakoiru)§
Lickilicky: ベロベルト (beroberuto)§
Rhyperior: ドサイドン (dosaidon)§
Tangrowth: モジャンボ (mojanbo)§
Electivire: エレキブル (erekiburu)§
Magmortar: ブーバーン (Bu-ba-n)§
Togekiss: トゲキッス (Togekissu)§
Yanmega: メガヤンマ (megayanma)§
Leafeon: リーフィア (ri-fyia)§
Glaceon: グレイシア (gureishia)§
Gliscor: グライオン (guraion)§
Mamoswine: マンムー (manmu-)§
Porygon-Z: ポリゴンＺ (porigonzuxi-)§
Gallade: エルレイド (erureido)§
Probopass: ダイノーズ (daino-zu)§
Dusknoir: ヨノワール (yonowa-ru)§
Froslass: ユキメノコ (yukimenoko)§
Rotom: ロトム (rotomu)§
Uxie: ユクシー (yukushi-)§
Mesprit: エムリット (emuritto)§
Azelf: アグノム (agunomu)§
Dialga: ヂィアルガ (dyiaruga)§
Palkia: パルキア (parukia)§
Heatran: ヒードラン (hi-doran)§
Regigigas: レジギガス (rejigigasu)§
Giratina: ギラティナ (girathina)§
Cresselia: クレセリア (kureseria)§
Phione: フィオネ (fyione)§
Manaphy: マナフィ (manafyi)§
Darkrai: ダークライ (da-kurai)§
Shaymin: シェイミ (sheimi)§
Arceus: アルセウス (aruseusu)§
Victini: ビクチイニ (bikuchiini)§
Snivy: ツタージャ (tsuta-ja)§
Servine: ジャノビー (janobi-)§
Serperior: ジャローダ (jaro-da)§
Tepig: ポカブ (pokabu)§
Pignite: チャオブー (chaobu-)§
Emboar: エンブオー (enbuo-)§
Oshawott: ミジュマル (mijumaru)§
Dewott: フタチマル (futachimaru)§
Samurott: ダイケンキ (daikenki)§
Patrat: ミネズミ (minezumi)§
Watchog: ミルホッグ (miruhoggu)§
Lillipup: ヨーテリー (yo-teri-)§
Herdier: ハーヂリア (ha-jiria)§
Stoutland: ムーランド (mu-rando)§
Purrloin: チョロネコ (choroneko)§
Liepard: レパルダス (reparudasu)§
Pansage: ヤナップ (yanappu)§
Simisage: ヤナッキー (yanakki-)§
Pansear: バオップ (baoppu)§
Simisear: バオッキー (baokki-)§
Panpour: ヒヤップ (hiyappu)§
Simipour: ヒヤッキー (hiyakki-)§
Munna: ムンナ (munna)§
Musharna: ムシャーナ (musha-na)§
Pidove: マメパト (mamepato)§
Tranquill: ハトーポー (hato-po-)§
Unfezant: ケンホロウ (kenhorou)§
Blitzle: シママ (shimama)§
Zebstrika: ゼブライカ (zeburaika)§
Roggenrola: ダンゴロ (dangoro)§
Boldore: ガントル (gantoru)§
Gigalith: ギガイアス (gigaiasu)§
Woobat: コロモリ (koromori)§
Swoobat: ココロモリ (kokoromori)§
Drilbur: モグリュー (moguryu-)§
Excadrill: ドリュウズ (doryūzu)§
Audino: タブンネ (tabunne)§
Timburr: ドッコラー (dokkora-)§
Gurdurr: ドテッコツ (dotekkotsu)§
Conkeldurr: ローブシン (ro-bushin)§
Tympole: オタマロ (otamaro)§
Palpitoad: ガマガル (gamaGaru)§
Seismitoad: ガマゲロゲ (gamageroge)§
Throh: ナゲキ (nageki)§
Sawk: ダゲキ (dageki)§
Sewaddle: クルミル (kurumiru)§
Swadloon: クルマユ (kurumayu)§
Leavanny: ハハコモリ (hahakomori)§
Venipede: フシデ (fushide)§
Whirlipede: ホイーガ (hoi-ga)§
Scoliopede: ペンドラー (pendora-)§
Cottonee: モンメン (Monmen)§
Whimsicott: エルフーン (erufu-n)§
Petilil: チュリネ (churine)§
Lilligant: ドレヂィア (doredyia)§
Basculin: バスラオ (basurao)§
Sandile: メグロコ (MeguRoko)§
Krokorok: ワルビル (warubiru)§
Krookodile: ワルビアル (warubiaru)§
Darumaka: ダルマッカ (darumakka)§
Darmanitan: ヒヒダルマ (hihidaruma)§
Maractus: マラカッチ (marakatchi)§
Dwebble: イシズマイ (ishizumai)§
Crustle: イワパレス (iwaparesu)§
Scraggy: ズルッグ (zuruggu)§
Scrafty: ズルズキン (zuruzukin)§
Sigilyph: シンボラー (shinbora-)§
Yamask: デスマス (desumasu)§
Cofagrigus: デスカーン (desuka-n)§
Tirtouga: プロトーガ (puroto-ga)§
Carracosta: アバゴーラ (abago-ra)§
Archen: アーケン (a-ken)§
Archeops: アーケオス (a-keosu)§
Trubbish: ヤブクロン (yabukuron)§
Garbodor: ダストダス (dasutodasu)§
Zorua: ゾロア (zoroa)§
Zoroark: ゾロアーク (zoroa-ku)§
Minccino: チラーミィ (chira-myi)§
Cinccino: チラチーノ (chirachi-no)§
Gothita: ゴチム (gochimu)§
Gothorita: ゴチミル (gochimiru)§
Gothitelle: ゴチルゼル (gochiruzeru)§
Solosis: ユニラン (yuniran)§
Duosion: ダブラン (daburan)§
Reuniclus: ランクルス (rankurusu)§
Ducklett: コアルヒー (koaruhi-)§
Swanna: スワンナ (suwanna)§
Vanillite: バニプッチ (baniputchi)§
Vanillish: バニリッチ (baniritchi)§
Vanilluxe: バイバニラ (baibanira)§
Deerling: シキジカ (shikijika)§
Sawsbuck: メブキジカ (mebukijika)§
Emolga: エモンガ (emonga)§
Karrablast: カブルモ (kaburumo)§
Escavalier: シュバルゴ (shubarugo)§
Foongus: タマゲタケ (tamagetake)§
Amoongus: モロバレル (Morobareru)§
Frillish: プルリル (pururiru)§
Jellicent: ブルンゲル (burungeru)§
Alomomola: ママンボウ (mamanbou)§
Joltik: バチュル (bachuru)§
Galvantula: デンチュラ (denchura)§
Ferroseed: テッシード (tesshi-do)§
Ferrothorn: ナットレイ (nattorei)§
Klink: ギアル (giaru)§
Klang: ギギアル (gigiaru)§
Klinklang: ギギギアル (gigigiaru)§
Tynamo: シビシラス (shibishirasu)§
Eelektrik: シビビール (shibibi-ru)§
Eelektross: シビルドン (shibirudon)§
Elgyem: リグレー (rigure-)§
Beheeyem: オーベム (o-bemu)§
Litwick: ヒトモシ (hitomoshi)§
Lampent: ランプラー (ranpura-)§
Chandelure: シャンデラ (shandera)§
Axew: キバゴ (kibago)§
Fraxure: オノンド (onondo)§
Haxorus: オノノクス (ononokusu)§
Cubchoo: クマシュン (kumaShun)§
Beartic: ツンビアー (tsunbia-)§
Cryogonal: フリージオ (furi-jio)§
Shelmet: チョボマキ (chobomaki)§
Accelgor: アギルダー (agiruda-)§
Stunfisk: マッギョ (maggyo)§
Mienfoo: コジョフー (kojofu-)§
Mienshao: コジョンド (kojondo)§
Druddigon: クリムガン (kurimugan)§
Golette: ゴビット (gobitto)§
Golurk: ゴルーグ (goru-gu)§
Pawniard: コマタナ (komatana)§
Bisharp: キルキザン (kirukizan)§
Bouffalant: バッフロン (baffuron)§
Rufflet: ワシボン (washiBon)§
Braviary: ウォーグル (uxo-guru)§
Vullaby: バルチャイ (baruchai)§
Mandibuzz: バルジーナ (baruji-na)§
Heatmor: クイタラン (kuitaran)§
Durant: アイアント (aianto)§
Deino: モノズ (monozu)§
Zweilous: ジヘッド (jiheddo)§
Hydreigon: サザンドラ (sazandora)§
Larvesta: メラルバ (meraruba)§
Volcarona: ウルガモス (urugamosu)§
Cobalion: コバルオン (kobaruon)§
Terrakion: テラキオン (terakion)§
Virizion: ビリジオン (birijion)§
Tornadus: トルネロス (torunerosu)§
Thundurus: ボルトロス (borutoRosu)§
Reshiram: レシラム (reshiramu)§
Zekrom: ゼクロム (zekuromu)§
Landorus: ランドロス (randoRosu)§
Kyurem: キュレム (kyuremu)§
Keldeo: ケルヂィオ (kerudyio)§
Meloetta: メロエッタ (meroetta)§
Genesect: ゲノセクト (genosekuto)§
Chespin: ハリマロン (harimaron)§
Quilladin: ハリボーグ (haribo-gu)§
Chesnaught: ブリガロン (burigaron)§
Fennekin: フォッコ (fuxokko)§
Braixen: テールナー (te-runa-)§
Delphox: マフォクシー (mafuxokushi-)§
Froakie: ケロマツ (keromatsu)§
Frogadier: ゲコガシラ (gekogashira)§
Greninja: ゲッコウガ (gekkouga)§
Bunnelby: ホルビー (horubi-)§
Diggersby: ホルード (horu-do)§
Fletchling: ヤヤコマ (yayakoma)§
Fletchinder: ヒノヤコマ (hinoyakoma)§
Talonflame: ファイアロー (faiaro-)§
Scatterbug: コフキムシ (kofukimushi)§
Spewpa: コフーライ (kofu-rai)§
Vivillon: ビビヨン (bibiyon)§
Litleo: シシコ (shishiko)§
Pyroar: カエンジシ (kaenjishi)§
Flabébé: フラベベ (furabebe)§
Floette: フラエッテ (furaette)§
Florges: フラージェス (fura-jyesu)§
Skiddo: メェークル (mexe-kuru)§
Gogoat: ゴーゴート (go-go-to)§
Pancham: ヤンチャム (yanchamu)§
Pangoro: ゴロンダ (goronda)§
Furfrou: トリミアン (torimian)§
Espurr: ニャスパー (nyasupa-)§
Meowstic: ニャオニクス (nyaonikusu)§
Honedge: ヒトツキ (hitotsuki)§
Doublade: ニダンギル (nidangiru)§
Aegislash: ギルガルド (girugarudo)§
Spritzee: シュシュプ (shushupu)§
Aromatisse: フレフワン (furefuwan)§
Swirlix: ペロッパフ (peroppafu)§
Slurpuff: ペロリーム (perori-mu)§
Inkay: マーイーカ (ma-i-ka)§
Malamar: カラマネロ (karamanero)§
Binacle: カメテテ (kametete)§
Barbaracle: ガメノデス (gamenodesu)§
Skrelp: クズモー (kuzumo-)§
Dragalge: ドラミドロ (doramidoro)§
Clauncher: ウデッポウ (udeppou)§
Clawitzer: ブロスター (burosuta-)§
Helioptile: エリキテル (erikiteru)§
Heliolisk: エレザード (ereza-do)§
Tyrunt: チゴラス (chigorasu)§
Tyrantrum: ガチゴラス (gachigorasu)§
Amaura: アマルス (amarusu)§
Aurorus: アマルルガ (amaruruga)§
Sylveon: ニンフィア (ninfyia)§
Hawlucha: ルチャブル (ruchaburu)§
Dedenne: デデンネ (dedenne)§
Carbink: メレシー (mereshi-)§
Goomy: ヌメラ (numera)§
Sliggoo: ヌメイル (numeiru)§
Goodra: ヌメルゴン (numerugon)§
